Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,18768460
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,18768460
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,11267928
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,60.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,11191144
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,59.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,10731195
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,57.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,459949
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,76784
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,7500532
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,40.0
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,11191144
Percent!!EMPLOYMENT STATUS!!Civilian labor force,11191144
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,9628103
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,9628103
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,5369715
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,55.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,5356504
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,55.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,5118680
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,53.2
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,1295758
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,1295758
